validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
1.0874427556991577,0.3812499940395355,0.0005000000237487257,0.0,,,
,,,0.0,1.0816341638565063,0.43437501788139343,0.0005000000237487257
1.0534354448318481,0.4312500059604645,0.0005000000237487257,1.0,,,
,,,1.0,1.0446712970733643,0.46875,0.0005000000237487257
1.0208560228347778,0.48750004172325134,0.0005000000237487257,2.0,,,
,,,2.0,1.0027889013290405,0.4750000238418579,0.0005000000237487257
1.0018669366836548,0.5,0.0005000000237487257,3.0,,,
,,,3.0,1.0233640670776367,0.47187504172325134,0.0005000000237487257
0.9870840907096863,0.5,0.0005000000237487257,4.0,,,
,,,4.0,1.0167940855026245,0.45625004172325134,0.0005000000237487257
0.99148029088974,0.5375000238418579,0.0005000000237487257,5.0,,,
,,,5.0,1.0129021406173706,0.484375,0.0005000000237487257
0.9805421829223633,0.5375000238418579,0.0005000000237487257,6.0,,,
,,,6.0,1.0075864791870117,0.4906250238418579,0.0005000000237487257
0.976632833480835,0.550000011920929,0.0005000000237487257,7.0,,,
,,,7.0,0.9866260886192322,0.5093750357627869,0.0005000000237487257
0.9720357060432434,0.550000011920929,0.0005000000237487257,8.0,,,
,,,8.0,0.9885413646697998,0.5218750238418579,0.0005000000237487257
0.9742269515991211,0.5687500238418579,0.0005000000237487257,9.0,,,
,,,9.0,1.0163755416870117,0.4781249761581421,0.0005000000237487257
0.9391887187957764,0.5562500357627869,0.0005000000237487257,0.0,,,
,,,0.0,0.9829728007316589,0.543749988079071,0.0005000000237487257
0.9361853003501892,0.5625,0.0005000000237487257,1.0,,,
,,,1.0,0.9135097861289978,0.596875011920929,0.0005000000237487257
0.9190067648887634,0.637499988079071,0.0005000000237487257,2.0,,,
,,,2.0,0.9145933985710144,0.6156250238418579,0.0005000000237487257
0.9161851406097412,0.6000000238418579,0.0005000000237487257,3.0,,,
,,,3.0,0.9210503101348877,0.6031250357627869,0.0005000000237487257
0.9230179190635681,0.5875000357627869,0.0005000000237487257,4.0,,,
,,,4.0,0.9317430853843689,0.565625011920929,0.0005000000237487257
0.9135358333587646,0.59375,0.0005000000237487257,5.0,,,
,,,5.0,0.9125852584838867,0.628125011920929,0.0005000000237487257
0.9347710013389587,0.5625,0.0005000000237487257,6.0,,,
,,,6.0,0.907454252243042,0.6468750238418579,0.0005000000237487257
0.9141706824302673,0.5875000357627869,0.0005000000237487257,7.0,,,
,,,7.0,0.9305492043495178,0.5562500357627869,0.0005000000237487257
0.9253895878791809,0.550000011920929,0.0005000000237487257,8.0,,,
,,,8.0,0.9174911975860596,0.596875011920929,0.0005000000237487257
0.9102923274040222,0.581250011920929,0.0005000000237487257,9.0,,,
,,,9.0,0.9366099834442139,0.5625,0.0005000000237487257
0.91922926902771,0.612500011920929,0.0005000000237487257,10.0,,,
,,,10.0,0.9121059775352478,0.596875011920929,0.0005000000237487257
0.9349907636642456,0.606249988079071,0.0005000000237487257,11.0,,,
,,,11.0,0.9008357524871826,0.6156250238418579,0.0005000000237487257
0.9307461977005005,0.5562500357627869,0.0005000000237487257,12.0,,,
,,,12.0,0.9088672995567322,0.612500011920929,0.0005000000237487257
0.9114682674407959,0.606249988079071,0.0005000000237487257,13.0,,,
,,,13.0,0.919536292552948,0.5875000357627869,0.0005000000237487257
0.8956935405731201,0.6000000238418579,0.0005000000237487257,14.0,,,
,,,14.0,0.8996661305427551,0.606249988079071,0.0005000000237487257
0.8949664235115051,0.612500011920929,0.0005000000237487257,15.0,,,
,,,15.0,0.9123122692108154,0.628125011920929,0.0005000000237487257
0.9076201319694519,0.581250011920929,0.0005000000237487257,16.0,,,
,,,16.0,0.9376125335693359,0.59375,0.0005000000237487257
0.9007260203361511,0.612500011920929,0.0005000000237487257,17.0,,,
,,,17.0,0.9276042580604553,0.596875011920929,0.0005000000237487257
0.8944050669670105,0.6000000238418579,0.0005000000237487257,18.0,,,
,,,18.0,0.8859793543815613,0.640625,0.0005000000237487257
0.9005332589149475,0.5875000357627869,0.0005000000237487257,19.0,,,
,,,19.0,0.8491230010986328,0.668749988079071,0.0005000000237487257
0.8976151347160339,0.6000000238418579,0.0005000000237487257,20.0,,,
,,,20.0,0.9340302348136902,0.5875000357627869,0.0005000000237487257
0.928154706954956,0.5687500238418579,0.0005000000237487257,21.0,,,
,,,21.0,0.9114605784416199,0.596875011920929,0.0005000000237487257
0.908859372138977,0.606249988079071,0.0005000000237487257,22.0,,,
,,,22.0,0.9293396472930908,0.574999988079071,0.0005000000237487257
0.907715916633606,0.5875000357627869,0.0005000000237487257,23.0,,,
,,,23.0,0.9127289652824402,0.5875000357627869,0.0005000000237487257
0.8983282446861267,0.581250011920929,0.0005000000237487257,24.0,,,
,,,24.0,0.9013496041297913,0.6156250238418579,0.0005000000237487257
0.8968349099159241,0.581250011920929,0.0005000000237487257,25.0,,,
,,,25.0,0.8629379272460938,0.6500000357627869,0.0005000000237487257
0.9060103297233582,0.59375,0.0005000000237487257,26.0,,,
,,,26.0,0.8847692608833313,0.640625,0.0005000000237487257
0.9186093211174011,0.581250011920929,0.0005000000237487257,27.0,,,
,,,27.0,0.8774048089981079,0.6468750238418579,0.0005000000237487257
0.9017918109893799,0.643750011920929,0.0005000000237487257,28.0,,,
,,,28.0,0.8901517391204834,0.621874988079071,0.0005000000237487257
0.9037677049636841,0.612500011920929,0.0005000000237487257,29.0,,,
,,,29.0,0.9057642817497253,0.625,0.0005000000237487257
0.89858478307724,0.6081730723381042,0.0005000000237487257,0.0,,,
,,,0.0,0.8965916037559509,0.6251785755157471,0.0005000000237487257
0.906406819820404,0.6201923489570618,0.0005000000237487257,1.0,,,
,,,1.0,0.8863072991371155,0.6321428418159485,0.0005000000237487257
0.9428126215934753,0.5697115659713745,0.0005000000237487257,2.0,,,
,,,2.0,0.8728581070899963,0.6521428227424622,0.0005000000237487257
0.8950375318527222,0.6153846383094788,0.0005000000237487257,3.0,,,
,,,3.0,0.8679306507110596,0.6537500023841858,0.0005000000237487257
0.8918168544769287,0.6105769276618958,0.0005000000237487257,4.0,,,
,,,4.0,0.8579836487770081,0.6619642972946167,0.0005000000237487257
0.9088575839996338,0.6105769276618958,0.0005000000237487257,5.0,,,
,,,5.0,0.8516885638237,0.6682142615318298,0.0005000000237487257
0.9003710150718689,0.6225962042808533,0.0005000000237487257,6.0,,,
,,,6.0,0.8484235405921936,0.6730356812477112,0.0005000000237487257
0.904739499092102,0.625,0.0005000000237487257,7.0,,,
,,,7.0,0.8355072140693665,0.6860713958740234,0.0005000000237487257
0.8957241773605347,0.6322115659713745,0.0005000000237487257,8.0,,,
,,,8.0,0.8315825462341309,0.6867856979370117,0.0005000000237487257
0.8924815058708191,0.6177884936332703,0.0005000000237487257,9.0,,,
,,,9.0,0.8236337900161743,0.6935714483261108,0.0005000000237487257
0.8938507437705994,0.6153846383094788,0.0005000000237487257,10.0,,,
,,,10.0,0.825653612613678,0.6973214149475098,0.0005000000237487257
0.8981188535690308,0.6225962042808533,0.0005000000237487257,11.0,,,
,,,11.0,0.8151612281799316,0.7046428322792053,0.0005000000237487257
0.8926557898521423,0.6081730723381042,0.0005000000237487257,12.0,,,
,,,12.0,0.8129368424415588,0.7037500143051147,0.0005000000237487257
0.9174590706825256,0.59375,0.0005000000237487257,13.0,,,
,,,13.0,0.8079305291175842,0.7071428298950195,0.0005000000237487257
0.8940850496292114,0.6370192766189575,0.0005000000237487257,14.0,,,
,,,14.0,0.8027454614639282,0.7132142782211304,0.0005000000237487257
0.891006350517273,0.629807710647583,0.0005000000237487257,15.0,,,
,,,15.0,0.7981821894645691,0.7228571176528931,0.0005000000237487257
0.8944334387779236,0.6466346383094788,0.0005000000237487257,16.0,,,
,,,16.0,0.7977694869041443,0.7267857193946838,0.0005000000237487257
0.9153224229812622,0.6057692766189575,0.0005000000237487257,17.0,,,
,,,17.0,0.7904220223426819,0.7303571105003357,0.0005000000237487257
0.9170397520065308,0.5961538553237915,0.0005000000237487257,18.0,,,
,,,18.0,0.7939242124557495,0.7264285683631897,0.0005000000237487257
0.8994877338409424,0.6201923489570618,0.0005000000237487257,19.0,,,
,,,19.0,0.7872454524040222,0.733214259147644,0.0005000000237487257
0.908636212348938,0.6129807829856873,0.0005000000237487257,20.0,,,
,,,20.0,0.7864657044410706,0.7328571081161499,0.0005000000237487257
0.8911898732185364,0.6201923489570618,0.0005000000237487257,21.0,,,
,,,21.0,0.7776445746421814,0.7439285516738892,0.0005000000237487257
0.8986418843269348,0.6177884936332703,0.0005000000237487257,22.0,,,
,,,22.0,0.7786695957183838,0.7467857003211975,0.0005000000237487257
0.8969584703445435,0.6153846383094788,0.0005000000237487257,23.0,,,
,,,23.0,0.772590160369873,0.7548214197158813,0.0005000000237487257
0.8973315358161926,0.6225962042808533,0.0005000000237487257,24.0,,,
,,,24.0,0.7706552743911743,0.7496428489685059,0.0005000000237487257
0.9096299409866333,0.5961538553237915,0.0005000000237487257,25.0,,,
,,,25.0,0.7647616267204285,0.7587500214576721,0.0005000000237487257
0.9058362245559692,0.6201923489570618,0.0005000000237487257,26.0,,,
,,,26.0,0.7611569762229919,0.7582142949104309,0.0005000000237487257
0.8882506489753723,0.6322115659713745,0.0005000000237487257,27.0,,,
,,,27.0,0.7611593008041382,0.7648214101791382,0.0005000000237487257
0.895519495010376,0.6274038553237915,0.0005000000237487257,28.0,,,
,,,28.0,0.7583057284355164,0.7671428322792053,0.0005000000237487257
0.9037852883338928,0.6274038553237915,0.0005000000237487257,29.0,,,
,,,29.0,0.7573127150535583,0.7669642567634583,0.0005000000237487257
0.8948489427566528,0.6274038553237915,0.0005000000237487257,30.0,,,
