validation/loss,validation/accuracy,validation/learning rate,step,training/loss,training/accuracy,training/learning rate
0.9301446080207825,0.5928819179534912,0.0005000000237487257,0.0,,,
,,,0.0,0.9576565623283386,0.5544338226318359,0.0005000000237487257
0.918869137763977,0.6022135019302368,0.0005000000237487257,1.0,,,
,,,1.0,0.9060995578765869,0.6095272302627563,0.0005000000237487257
0.9173054099082947,0.6048177480697632,0.0005000000237487257,2.0,,,
,,,2.0,0.8914364576339722,0.6235542297363281,0.0005000000237487257
0.9266928434371948,0.6017795205116272,0.0005000000237487257,3.0,,,
,,,3.0,0.8756715655326843,0.6343851685523987,0.0005000000237487257
0.9159430265426636,0.5785590410232544,0.0005000000237487257,4.0,,,
,,,4.0,0.8697862029075623,0.6362622380256653,0.0005000000237487257
0.916779637336731,0.5883246660232544,0.0005000000237487257,5.0,,,
,,,5.0,0.8625661134719849,0.6468902230262756,0.0005000000237487257
0.9336251020431519,0.5750868320465088,0.0005000000237487257,6.0,,,
,,,6.0,0.863536536693573,0.6411069631576538,0.0005000000237487257
0.9112399220466614,0.5594618320465088,0.0005000000237487257,7.0,,,
,,,7.0,0.859209418296814,0.661196231842041,0.0005000000237487257
0.940673828125,0.5744357705116272,0.0005000000237487257,8.0,,,
,,,8.0,0.8438811898231506,0.6693892478942871,0.0005000000237487257
0.9282910227775574,0.5633680820465088,0.0005000000237487257,9.0,,,
,,,9.0,0.8282622694969177,0.6826045513153076,0.0005000000237487257
0.9226824641227722,0.5818142294883728,0.0005000000237487257,10.0,,,
,,,10.0,0.8173866271972656,0.6860795617103577,0.0005000000237487257
0.9995957612991333,0.5110676884651184,0.0005000000237487257,11.0,,,
,,,11.0,0.8082818388938904,0.7010197043418884,0.0005000000237487257
0.9861111044883728,0.53125,0.0005000000237487257,12.0,,,
,,,12.0,0.8073970079421997,0.7064732313156128,0.0005000000237487257
1.0061345100402832,0.4997829794883728,0.0005000000237487257,13.0,,,
,,,13.0,0.7949107885360718,0.7128652930259705,0.0005000000237487257
0.9561898708343506,0.5833333730697632,0.0005000000237487257,14.0,,,
,,,14.0,0.788032054901123,0.7217684984207153,0.0005000000237487257
0.9377589821815491,0.6024305820465088,0.0005000000237487257,15.0,,,
,,,15.0,0.7742263078689575,0.7396764159202576,0.0005000000237487257
0.9297627210617065,0.6117621660232544,0.0005000000237487257,16.0,,,
,,,16.0,0.7747241258621216,0.7366071343421936,0.0005000000237487257
0.9342172145843506,0.5926649570465088,0.0005000000237487257,17.0,,,
,,,17.0,0.7747007012367249,0.7400315403938293,0.0005000000237487257
0.9670867919921875,0.5640190839767456,0.0005000000237487257,18.0,,,
,,,18.0,0.7666215300559998,0.7436079978942871,0.0005000000237487257
0.9428505301475525,0.5629340410232544,0.0005000000237487257,19.0,,,
,,,19.0,0.7664292454719543,0.7451298832893372,0.0005000000237487257
0.9103589653968811,0.6154513955116272,0.0005000000237487257,20.0,,,
,,,20.0,0.7634612321853638,0.7555549740791321,0.0005000000237487257
0.9182158708572388,0.6037326455116272,0.0005000000237487257,21.0,,,
,,,21.0,0.7446920275688171,0.7682376503944397,0.0005000000237487257
